order_id,items,value_inr,delivery_time_min,delivery_status
ORD-9900,1,999,24,cancelled
ORD-9901,2,189,28,cancelled
ORD-9902,5,999,42,cancelled
ORD-9903,3,999,53,cancelled
ORD-9904,6,189,14,cancelled
ORD-9905,1,412,41,delivered
ORD-9906,1,189,35,cancelled
ORD-9907,4,412,55,cancelled
ORD-9908,1,999,26,delivered
ORD-9909,3,1450,49,delivered
ORD-9910,6,412,47,delivered
ORD-9911,4,999,21,delivered
ORD-9912,6,999,8,delivered
ORD-9913,4,189,8,delivered
ORD-9914,1,1450,37,delivered
ORD-9915,5,412,12,delivered
ORD-9916,6,189,20,delivered
ORD-9917,5,640,31,cancelled
ORD-9918,6,412,12,delivered
ORD-9919,3,412,24,delivered
ORD-9920,5,999,29,delivered
ORD-9921,2,412,8,delivered
ORD-9922,2,412,18,cancelled
ORD-9923,1,412,40,cancelled
ORD-9924,3,640,40,delivered
ORD-9925,4,999,53,cancelled
ORD-9926,3,1450,13,delivered
ORD-9927,6,412,35,cancelled
ORD-9928,6,189,43,cancelled
ORD-9929,3,999,50,delivered
